TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
SFO,16,"6,097",381.1,"3,792",237,"2,305",144.1,479,29.9,2019
SEA,16,"5,991",374.4,"3,791",236.9,"2,200",137.5,405,25.3,2019
TAM,16,"6,366",397.9,"4,845",302.8,"1,521",95.1,458,28.6,2019
WAS,16,"4,395",274.7,"2,812",175.8,"1,583",98.9,266,16.6,2019
CAR,16,"5,469",341.8,"3,650",228.1,"1,819",113.7,340,21.3,2019
JAX,16,"5,468",341.8,"3,760",235,"1,708",106.8,300,18.8,2019
BAL,16,"6,521",407.6,"3,225",201.6,"3,296",206,531,33.2,2019
HOU,16,"5,792",362,"3,783",236.4,"2,009",125.6,378,23.6,2019
ATL,16,"5,895",368.4,"4,363",272.7,"1,532",95.8,396,24.8,2020
BUF,16,"6,343",396.4,"4,620",288.8,"1,723",107.7,501,31.3,2020
CHI,16,"5,302",331.4,"3,655",228.4,"1,647",102.9,372,23.3,2020
CIN,16,"5,116",319.8,"3,448",215.5,"1,668",104.3,311,19.4,2020
CLE,16,"5,913",369.6,"3,539",221.2,"2,374",148.4,408,25.5,2020
DAL,16,"5,949",371.8,"4,161",260.1,"1,788",111.8,395,24.7,2020
DEN,16,"5,369",335.6,"3,451",215.7,"1,918",119.9,323,20.2,2020
DET,16,"5,603",350.2,"4,104",256.5,"1,499",93.7,377,23.6,2020
GNB,16,"6,224",389,"4,106",256.6,"2,118",132.4,509,31.8,2020
TEN,16,"6,343",396.4,"3,653",228.3,"2,690",168.1,491,30.7,2020
IND,16,"6,049",378.1,"4,053",253.3,"1,996",124.8,451,28.2,2020
KAN,16,"6,653",415.8,"4,854",303.4,"1,799",112.4,473,29.6,2020
LVR,16,"6,133",383.3,"4,217",263.6,"1,916",119.8,434,27.1,2020
LAR,16,"6,032",377,"4,014",250.9,"2,018",126.1,372,23.3,2020
MIA,16,"5,424",339,"3,736",233.5,"1,688",105.5,404,25.3,2020
MIN,16,"6,292",393.3,"4,009",250.6,"2,283",142.7,430,26.9,2020
NWE,16,"5,236",327.3,"2,890",180.6,"2,346",146.6,326,20.4,2020
NOR,16,"6,023",376.4,"3,758",234.9,"2,265",141.6,482,30.1,2020
NYG,16,"4,794",299.6,"3,026",189.1,"1,768",110.5,280,17.5,2020
NYJ,16,"4,479",279.9,"2,796",174.8,"1,683",105.2,243,15.2,2020
PHI,16,"5,354",334.6,"3,327",207.9,"2,027",126.7,334,20.9,2020
ARI,16,"6,153",384.6,"3,916",244.8,"2,237",139.8,410,25.6,2020
PIT,16,"5,354",334.6,"4,003",250.2,"1,351",84.4,416,26,2020
LAC,16,"6,113",382.1,"4,329",270.6,"1,784",111.5,384,24,2020
SFO,16,"5,922",370.1,"4,033",252.1,"1,889",118.1,376,23.5,2020
SEA,16,"5,912",369.5,"3,941",246.3,"1,971",123.2,459,28.7,2020
TAM,16,"6,145",384.1,"4,626",289.1,"1,519",94.9,492,30.8,2020
WAS,16,"5,076",317.3,"3,465",216.6,"1,611",100.7,335,20.9,2020
CAR,16,"5,592",349.5,"3,888",243,"1,704",106.5,350,21.9,2020
JAX,16,"5,218",326.1,"3,699",231.2,"1,519",94.9,306,19.1,2020
BAL,16,"5,810",363.1,"2,739",171.2,"3,071",191.9,468,29.3,2020
HOU,16,"6,004",375.3,"4,538",283.6,"1,466",91.6,384,24,2020
ATL,17,"5,164",303.8,"3,713",218.4,"1,451",85.4,313,18.4,2021
BUF,17,"6,493",381.9,"4,284",252,"2,209",129.9,483,28.4,2021
CHI,17,"5,225",307.4,"3,207",188.6,"2,018",118.7,311,18.3,2021
CIN,17,"6,145",361.5,"4,403",259,"1,742",102.5,460,27.1,2021
CLE,17,"5,791",340.6,"3,320",195.3,"2,471",145.4,349,20.5,2021
