TEAM,GP,Total_YDS,Total_YDS/G,Passing_YDS,Passing_YDS/G,Rushing_YDS,Rushing_YDS/G,Points_PTS,PointsPTS/G,Year
LAR,16,"5,737",358.6,"3,780",236.3,"1,957",122.3,384,24,2018
MIA,16,"6,257",391.1,"3,932",245.8,"2,325",145.3,433,27.1,2018
MIN,16,"4,955",309.7,"3,140",196.3,"1,815",113.4,341,21.3,2018
NWE,16,"5,746",359.1,"3,943",246.4,"1,803",112.7,325,20.3,2018
NOR,16,"5,585",349.1,"4,302",268.9,"1,283",80.2,353,22.1,2018
NYG,16,"5,942",371.4,"4,044",252.8,"1,898",118.6,412,25.8,2018
NYJ,16,"6,086",380.4,"4,065",254.1,"2,021",126.3,441,27.6,2018
PHI,16,"5,859",366.2,"4,308",269.3,"1,551",96.9,348,21.8,2018
ARI,16,"5,741",358.8,"3,262",203.9,"2,479",154.9,425,26.6,2018
PIT,16,"5,235",327.2,"3,697",231.1,"1,538",96.1,360,22.5,2018
LAC,16,"5,339",333.7,"3,646",227.9,"1,693",105.8,329,20.6,2018
SFO,16,"5,546",346.6,"3,732",233.3,"1,814",113.4,435,27.2,2018
SEA,16,"5,653",353.3,"3,842",240.1,"1,811",113.2,347,21.7,2018
TAM,16,"6,134",383.4,"4,151",259.4,"1,983",123.9,464,29,2018
WAS,16,"5,654",353.4,"3,794",237.1,"1,860",116.3,359,22.4,2018
CAR,16,"5,651",353.2,"3,847",240.4,"1,804",112.8,382,23.9,2018
JAX,16,"4,983",311.4,"3,113",194.6,"1,870",116.9,316,19.8,2018
BAL,16,"4,687",292.9,"3,360",210,"1,327",82.9,287,17.9,2018
HOU,16,"5,490",343.1,"4,167",260.4,"1,323",82.7,316,19.8,2018
ATL,16,"5,693",355.8,"3,918",244.9,"1,775",110.9,399,24.9,2019
BUF,16,"4,772",298.3,"3,123",195.2,"1,649",103.1,259,16.2,2019
CHI,16,"5,186",324.1,"3,554",222.1,"1,632",102,298,18.6,2019
CIN,16,"6,299",393.7,"3,917",244.8,"2,382",148.9,420,26.3,2019
CLE,16,"5,785",361.6,"3,470",216.9,"2,315",144.7,393,24.6,2019
DAL,16,"5,232",327,"3,576",223.5,"1,656",103.5,321,20.1,2019
